Vx,Vy,Ax,Ay,yawrate,Steer_SW
50,0,-0.124055802977693,-2.65930875780877e-16,0,0
49.9969050656342,-2.22371701682927e-17,-0.173321886893576,-1.58795034809708e-15,1.39604987175734e-16,1.93135695310673e-19
49.9932647054391,-7.10262060920392e-17,-0.174059591225404,-1.28449357181463e-15,1.04015679216766e-15,-1.24098380705975e-18
49.9896185192033,-1.69237524366981e-16,-0.174013343080939,-2.03302658268737e-15,1.11294235395195e-15,-4.54197350946523e-18
49.9859726393688,-2.61138243865515e-16,-0.173859961952035,-3.41403250916505e-15,1.74462482164753e-15,-6.96686936190454e-18
49.982327820566,-4.14134893361014e-16,-0.173675376632342,-3.57471320998281e-15,2.83575104327423e-15,-1.13948373198921e-17
49.9786842669587,-6.14560045413111e-16,-0.173485927942625,-4.58476390340776e-15,3.01412711597518e-15,-1.69918997965632e-17
49.9750419886298,-7.74280413348508e-16,-0.173300315400746,-2.94517713137327e-15,3.49360840280719e-15,-2.18714222701537e-17
49.9714009352271,-9.18939907583674e-16,-0.173120950143084,-1.77097055852995e-15,4.93122294873416e-15,-2.81114480595931e-17
49.9677610310978,-1.02756956325032e-15,-0.172946261484694,-1.47187938090203e-15,6.85740175561441e-15,-4.09245685813015e-17
49.9641222132154,-1.1589250385719e-15,-0.1727771122669,-1.58130815609999e-15,7.87686850806257e-15,-5.68159283975356e-17
49.9604845639926,-1.2579795858853e-15,-0.17260485836751,-8.8041874990951e-16,9.00801976642055e-15,-7.67970158656991e-17
49.9568483845602,-1.38117011751241e-15,-0.172443844640351,-1.09858692850756e-15,8.00603254117291e-15,-9.67569811266181e-17
49.9532132815633,-1.46361804828641e-15,-0.172297703174574,4.02263643043268e-16,8.08883842407955e-15,-1.14503192406739e-16
49.9495790744955,-1.53348784851239e-15,-0.172166553422351,8.60052034795585e-16,9.76308798560744e-15,-1.35041131232585e-16
49.9459456201256,-1.58475828198533e-15,-0.172051044442914,1.12209543108571e-15,1.14952936160057e-14,-1.61507840989412e-16
49.9423127998846,-1.65367214218096e-15,-0.171951489446219,1.44969584249778e-15,1.46342249381385e-14,-1.9575437945709e-16
49.938680513417,-1.72593999486973e-15,-0.171867822497991,1.92548716958571e-15,1.61797791239804e-14,-2.4167640100068e-16
49.9350486742171,-1.79139042416803e-15,-0.171799633904719,2.00525883369029e-15,1.63222111078763e-14,-2.88497711676284e-16
49.9314172067587,-1.8630340080726e-15,-0.171746241366883,1.28404116301328e-15,1.71789719997134e-14,-3.37354143941703e-16
49.9277860446235,-1.92679294094405e-15,-0.171706766275087,1.0565257487615e-15,1.79854434756264e-14,-3.89257743731135e-16
49.9241551292812,-2.03288973655725e-15,-0.171680199169074,1.8413595207581e-15,1.80720803660393e-14,-4.4368651862967e-16
49.9205249633262,-2.1269015200915e-15,-0.171625160355797,1.30681553263466e-15,1.72051444436556e-14,-4.97316613555687e-16
49.9168953904823,-2.16578128377828e-15,-0.171614717858557,3.18550505347897e-15,1.61435956532724e-14,-5.47392679565209e-16
49.9132660962671,-2.20999566393785e-15,-0.171616771029291,-8.437379111075e-16,1.54176821579334e-14,-5.95224771100301e-16
49.9096369590988,-2.36942827563102e-15,-0.17162924480707,-8.59171458248429e-16,1.37723750137229e-14,-6.41583423426842e-16
49.9060078970972,-2.50088289124557e-15,-0.171650122008679,-9.46468856625234e-16,1.35145163756463e-14,-6.89236606634764e-16
49.9023788594556,-2.68412947494964e-15,-0.171677683816007,-1.40968215326634e-15,1.24973537184918e-14,-7.35833416883445e-16
49.898749817552,-2.82725601357349e-15,-0.171710473353599,-8.53860868004727e-16,1.1953526513246e-14,-7.78076318600559e-16
49.8951207579076,-2.92638573674814e-15,-0.171747242398354,1.62461792194023e-15,1.12235611408163e-14,-8.1611711346863e-16
49.8914916771392,-2.94468969524115e-15,-0.171786896282935,2.68365471050573e-15,1.08394101763358e-14,-8.50771263598077e-16
49.8878629933556,-2.9378801295931e-15,-0.171800419671051,3.39051864891757e-15,1.12924699712123e-14,-8.84415245344739e-16
49.8842356534085,-2.93159209870134e-15,-0.171826622476792,3.42316761471772e-15,1.23388775139809e-14,-9.19438795280375e-16
49.8806087277939,-2.92278855426322e-15,-0.171860886361975,4.35593521802694e-15,1.36017213279787e-14,-9.59972859213126e-16
49.8769820461629,-2.8815616426172e-15,-0.171898570445938,3.8611255139123e-15,1.28467872554454e-14,-1.00311602697395e-15
49.8733555028814,-2.82719333270446e-15,-0.171937707553567,4.9557974240826e-15,1.24557410306033e-14,-1.04545065705097e-15
49.8697290378313,-2.7559847733534e-15,-0.171976618886768,3.5837316878862e-15,1.24190462601182e-14,-1.08714863153451e-15
49.8661026266477,-2.71964624466756e-15,-0.172013970560717,4.40804484450817e-15,1.13778734806693e-14,-1.12876726225045e-15
49.8624762704552,-2.69638362202245e-15,-0.172048760073893,3.30674763732138e-15,1.09454737069166e-14,-1.16887690617373e-15
49.8588499868515,-2.68422155036805e-15,-0.17208027099982,7.46974647692706e-16,1.07171050654392e-14,-1.20886364261073e-15
49.8552238028243,-2.68183419563681e-15,-0.172108018543014,2.0034798534901e-15,1.04672356126643e-14,-1.25200751707493e-15
49.8515977496605,-2.75368531878473e-15,-0.17213169834218,-1.47395638926974e-16,9.11047153791598e-15,-1.29503873791787e-15
49.8479718595859,-2.79932870452337e-15,-0.172151144064953,1.10647493526616e-15,8.95925955456065e-15,-1.3344092024923e-15
49.844346163743,-2.88675892158431e-15,-0.17216629509246,8.79561706416795e-16,8.65271624406153e-15,-1.37121817642862e-15
49.8407206911171,-2.91884810712638e-15,-0.172177173288354,1.82721016988057e-15,8.58613309791561e-15,-1.40554958648781e-15
49.8370954680717,-2.91813400894912e-15,-0.172183866856075,1.70910346234425e-15,8.10508138540743e-15,-1.43916098951281e-15
49.8334705182386,-2.94835919669085e-15,-0.172186519124466,1.77229058215621e-15,7.07057633130026e-15,-1.47018569112045e-15
49.8298458625856,-2.95828889149518e-15,-0.172185320370355,6.93716927383522e-16,6.12448640097746e-15,-1.49841683038121e-15
49.8262215195512,-2.93370657395348e-15,-0.17218050124239,1.16768660363854e-15,5.43902923683784e-15,-1.52377511795434e-15
49.8225975051863,-2.89222271830069e-15,-0.172172326825179,1.49064605590612e-15,4.72157914069772e-15,-1.54743960886997e-15
49.8189738332775,-2.81572382963168e-15,-0.172161090793259,2.36041892553701e-15,4.57784515290902e-15,-1.57076164400094e-15
49.8153505154465,-2.76503257766745e-15,-0.172147109417858,1.42091410954382e-15,4.64527271459822e-15,-1.59725073499478e-15
